Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Art Murillo,Totals
"Lone Star College System, Trustee, Position 4",0061,172,204,376,1773,21.21%,167,167
"Lone Star College System, Trustee, Position 4",0083,8,8,16,82,19.51%,6,6
"Lone Star College System, Trustee, Position 4",0106,18,7,25,286,8.74%,6,6
"Lone Star College System, Trustee, Position 4",0107,4,0,4,15,26.67%,2,2
"Lone Star College System, Trustee, Position 4",0108,3,0,3,5,60.00%,1,1
"Lone Star College System, Trustee, Position 4",0152,6,3,9,112,8.04%,3,3
"Lone Star College System, Trustee, Position 4",0185,283,287,570,1929,29.55%,207,207
"Lone Star College System, Trustee, Position 4",0212,84,138,222,1135,19.56%,78,78
"Lone Star College System, Trustee, Position 4",0241,222,229,451,2372,19.01%,178,178
"Lone Star College System, Trustee, Position 4",0254,70,93,163,1139,14.31%,64,64
"Lone Star College System, Trustee, Position 4",0320,22,18,40,196,20.41%,10,10
"Lone Star College System, Trustee, Position 4",0321,12,13,25,234,10.68%,14,14
"Lone Star College System, Trustee, Position 4",0342,93,99,192,865,22.20%,63,63
"Lone Star College System, Trustee, Position 4",0358,64,58,122,561,21.75%,59,59
"Lone Star College System, Trustee, Position 4",0364,65,81,146,630,23.17%,66,66
"Lone Star College System, Trustee, Position 4",0366,252,270,522,2454,21.27%,220,220
"Lone Star College System, Trustee, Position 4",0397,86,78,164,760,21.58%,86,86
"Lone Star College System, Trustee, Position 4",0405,0,0,0,0,0.00%,0,0
"Lone Star College System, Trustee, Position 4",0408,146,153,299,1691,17.68%,115,115
"Lone Star College System, Trustee, Position 4",0409,122,149,271,1459,18.57%,128,128
"Lone Star College System, Trustee, Position 4",0410,132,80,212,897,23.63%,59,59
"Lone Star College System, Trustee, Position 4",0411,235,200,435,2339,18.60%,197,197
"Lone Star College System, Trustee, Position 4",0423,108,120,228,1376,16.57%,88,88
"Lone Star College System, Trustee, Position 4",0467,15,16,31,145,21.38%,14,14
"Lone Star College System, Trustee, Position 4",0468,43,111,154,799,19.27%,62,62
"Lone Star College System, Trustee, Position 4",0494,381,247,628,2467,25.46%,195,195
"Lone Star College System, Trustee, Position 4",0495,522,523,1045,2375,44.00%,548,548
"Lone Star College System, Trustee, Position 4",0496,190,315,505,2160,23.38%,237,237
"Lone Star College System, Trustee, Position 4",0497,84,71,155,733,21.15%,43,43
"Lone Star College System, Trustee, Position 4",0549,144,175,319,1225,26.04%,129,129
"Lone Star College System, Trustee, Position 4",0571,83,66,149,854,17.45%,87,87
"Lone Star College System, Trustee, Position 4",0591,137,178,315,1573,20.03%,152,152
"Lone Star College System, Trustee, Position 4",0593,543,564,1107,4380,25.27%,521,521
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Art Murillo,Totals
"Lone Star College System, Trustee, Position 4",0595,201,178,379,1693,22.39%,116,116
"Lone Star College System, Trustee, Position 4",0608,31,47,78,537,14.53%,36,36
"Lone Star College System, Trustee, Position 4",0613,28,34,62,234,26.50%,23,23
"Lone Star College System, Trustee, Position 4",0628,152,219,371,1675,22.15%,169,169
"Lone Star College System, Trustee, Position 4",0664,352,250,602,2869,20.98%,303,303
"Lone Star College System, Trustee, Position 4",0697,428,378,806,2973,27.11%,341,341
"Lone Star College System, Trustee, Position 4",0698,244,284,528,1995,26.47%,213,213
"Lone Star College System, Trustee, Position 4",0705,114,113,227,1523,14.90%,62,62
"Lone Star College System, Trustee, Position 4",0717,373,250,623,2002,31.12%,252,252
"Lone Star College System, Trustee, Position 4",0733,13,7,20,215,9.30%,7,7
"Lone Star College System, Trustee, Position 4",0737,11,7,18,51,35.29%,8,8
"Lone Star College System, Trustee, Position 4",0738,17,14,31,165,18.79%,7,7
"Lone Star College System, Trustee, Position 4",0743,15,18,33,210,15.71%,16,16
"Lone Star College System, Trustee, Position 4",0767,10,2,12,86,13.95%,5,5
"Lone Star College System, Trustee, Position 4",0779,18,16,34,406,8.37%,16,16
"Lone Star College System, Trustee, Position 4",0780,63,59,122,595,20.50%,37,37
"Lone Star College System, Trustee, Position 4",0792,269,239,508,1865,27.24%,232,232
"Lone Star College System, Trustee, Position 4",0817,0,0,0,0,0.00%,0,0
"Lone Star College System, Trustee, Position 4",0840,381,174,555,1705,32.55%,178,178
"Lone Star College System, Trustee, Position 4",0843,0,1,1,0,0.00%,0,0
"Lone Star College System, Trustee, Position 4",0859,111,84,195,631,30.90%,68,68
"Lone Star College System, Trustee, Position 4",0864,193,299,492,2569,19.15%,198,198
"Lone Star College System, Trustee, Position 4",0868,236,271,507,2326,21.80%,240,240
"Lone Star College System, Trustee, Position 4",0870,0,0,0,0,0.00%,0,0
"Lone Star College System, Trustee, Position 4",0936,8,2,10,81,12.35%,4,4
"Lone Star College System, Trustee, Position 4",0937,0,0,0,0,0.00%,0,0
"Lone Star College System, Trustee, Position 4",0958,44,55,99,447,22.15%,37,37
"Lone Star College System, Trustee, Position 4",0959,0,0,0,0,0.00%,0,0
"Lone Star College System, Trustee, Position 4",0961,16,0,16,56,28.57%,7,7
"Lone Star College System, Trustee, Position 4",0970,83,32,115,726,15.84%,35,35
"Lone Star College System, Trustee, Position 4",0977,50,43,93,572,16.26%,35,35
"Lone Star College System, Trustee, Position 4",1012,134,201,335,1365,24.54%,149,149
"Lone Star College System, Trustee, Position 4",1013,0,6,6,58,10.34%,5,5
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Art Murillo,Totals
"Lone Star College System, Trustee, Position 4",1035,2,4,6,138,4.35%,0,0
"Lone Star College System, Trustee, Position 4",1038,62,6,68,327,20.80%,18,18
"Lone Star College System, Trustee, Position 4",1065,1,0,1,28,3.57%,0,0
