Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,DEM Carol Alvarado,Totals
"State Representative, District 145",0001,417,466,883,2358,37.45%,623,623
"State Representative, District 145",0003,328,405,731,1560,46.86%,502,502
"State Representative, District 145",0009,208,223,429,1874,22.89%,313,313
"State Representative, District 145",0023,31,22,53,541,9.80%,42,42
"State Representative, District 145",0026,239,277,516,1845,27.97%,387,387
"State Representative, District 145",0027,483,427,890,3074,28.95%,689,689
"State Representative, District 145",0029,194,237,431,2638,16.34%,277,277
"State Representative, District 145",0067,304,282,586,2794,20.97%,431,431
"State Representative, District 145",0072,220,293,513,1924,26.66%,384,384
"State Representative, District 145",0142,87,103,190,902,21.06%,134,134
"State Representative, District 145",0154,249,183,432,2190,19.73%,342,342
"State Representative, District 145",0172,88,80,166,621,26.73%,112,112
"State Representative, District 145",0203,107,68,175,960,18.23%,144,144
"State Representative, District 145",0211,307,386,693,2914,23.78%,464,464
"State Representative, District 145",0218,391,402,793,2292,34.60%,590,590
"State Representative, District 145",0226,227,307,534,2436,21.92%,413,413
"State Representative, District 145",0231,233,264,497,2232,22.27%,376,376
"State Representative, District 145",0280,130,188,318,1524,20.87%,194,194
"State Representative, District 145",0289,188,212,398,1564,25.45%,208,208
"State Representative, District 145",0328,151,140,291,1434,20.29%,176,176
"State Representative, District 145",0329,189,184,373,1397,26.70%,254,254
"State Representative, District 145",0343,189,271,460,1964,23.42%,349,349
"State Representative, District 145",0347,592,436,1028,3387,30.35%,403,403
"State Representative, District 145",0348,438,208,646,1708,37.82%,179,179
"State Representative, District 145",0369,32,29,61,559,10.91%,43,43
"State Representative, District 145",0526,88,84,152,780,19.49%,111,111
"State Representative, District 145",0675,0,1,1,0,0.00%,0,0
"State Representative, District 145",0752,288,200,488,1483,32.77%,141,141
"State Representative, District 145",0755,442,584,1026,4294,23.89%,627,627
"State Representative, District 145",0762,0,0,0,0,0.00%,0,0
"State Representative, District 145",0763,108,146,254,1212,20.96%,158,158
"State Representative, District 145",0766,40,25,85,392,16.58%,48,48
"State Representative, District 145",0793,448,247,695,2484,27.98%,306,306
"State Representative, District 145",0842,421,434,855,3259,26.24%,512,512
"State Representative, District 145",0856,0,1,1,0,0.00%,1,1
"State Representative, District 145",0871,1,0,1,3,33.33%,1,1
"State Representative, District 145",0890,164,103,267,1095,24.38%,185,185
"State Representative, District 145",0892,115,86,201,808,24.88%,130,130
"State Representative, District 145",0924,0,0,0,0,0.00%,0,0
"State Representative, District 145",0929,0,0,0,0,0.00%,0,0
"State Representative, District 145",0945,1,2,3,17,17.65%,2,2
"State Representative, District 145",0946,0,1,1,13,7.69%,1,1
"State Representative, District 145",1027,1,0,1,8,12.50%,1,1
"State Representative, District 145",1041,0,2,2,0,0.00%,2,2
"State Representative, District 145",Totals:,8089,8009,16098,62540,,10255,10255
